---- Catch Summary ----
 - minecraft:cod: 339 times
 - minecraft:salmon: 159 times
 - minecraft:pufferfish: 61 times
 - minecraft:tropical_fish: 12 times
 - minecraft:bow: 3 times
 - minecraft:potion: 1 times
 - minecraft:name_tag: 12 times
 - minecraft:leather: 3 times
 - minecraft:lily_pad: 6 times
 - minecraft:saddle: 3 times
 - minecraft:enchanted_book: 3 times
 - minecraft:nautilus_shell: 14 times
 - minecraft:rotten_flesh: 2 times
 - minecraft:ink_sac: 1 times
 - minecraft:tripwire_hook: 4 times
 - minecraft:stick: 1 times
 - minecraft:string: 1 times
 - minecraft:bowl: 4 times
 - minecraft:leather_boots: 2 times
 - minecraft:bone: 1 times
Elapsed Time: 173:45
